level=2  	child=3  	authoress     	/	autoincrement 	/	avaunt        	/	axiology      
level=3  	child=0  	audiphone     	/	aural         	/	aurinasal     	/	austenite     
level=4  	child=0  	audiometrist  	/	audiotape     	/	audiotyping   	/	audiovisuals  
level=4  	child=1  	auditing      	/	auger         	/	augmentation  	/	aulic         
level=4  	child=2  	aurelia       	/	auricle       	/	auricular     	/	auriform      
level=4  	child=3  	auris         	/	auriscopically	/	aurochs       	/	aurum         
level=4  	child=4  	australis     	/	autarky       	/	authentic     	/	authenticate  
level=3  	child=1  	autocollimation	/	autodial      	/	autoff        	/	autographical 
level=4  	child=0  	authorial     	/	authorize     	/	autobiographer	/	autobiography 
level=4  	child=1  	autoconditioning	/	autocorrect   	/	autocrat      	/	autocycle     
level=4  	child=2  	autodrome     	/	autoeciously  	/	autoeciousness	/	autoecism     
level=4  	child=3  	autofill      	/	autofilter    	/	autogenous    	/	autogiro      
level=4  	child=4  	autographically	/	autogyro      	/	autoharp      	/	autohypnosis  
level=3  	child=2  	autolatry     	/	automaticity  	/	autonomy      	/	autotruck     
level=4  	child=0  	autoinfection 	/	autointoxicant	/	autointoxication	/	autokinetic   
level=4  	child=1  	autoloading   	/	autolysate    	/	autolysis     	/	automark      
level=4  	child=2  	automatization	/	automatize    	/	automechanism 	/	autonomous    
level=4  	child=3  	autoregulation	/	autotoxicosis 	/	autotoxin     	/	autotoxis     
level=4  	child=4  	autoxidation  	/	auxochrome    	/	availablein   	/	availably     
level=3  	child=3  	aviatress     	/	avitrice      	/	avowedly      	/	awny          
level=4  	child=0  	avenger       	/	averment      	/	avert         	/	aviate        
level=4  	child=1  	avicide       	/	avid          	/	avion         	/	avirulence    
level=4  	child=2  	avoidable     	/	avouch        	/	avow          	/	avowal        
level=4  	child=3  	await         	/	aweary        	/	aweigh        	/	aweto         
level=4  	child=4  	axhammer      	/	axil          	/	axinite       	/	axiologist    
level=3  	child=4  	axite         	/	azotic        	/	babbittry     	/	baby          
level=4  	child=0  	axiomatic     	/	axiomatize    	/	axisymmetric  	/	axisymmetrical
level=4  	child=1  	axolotl       	/	axstone       	/	azimuthal     	/	azote         
level=4  	child=2  	azov          	/	azurite       	/	azygous       	/	baas          
level=4  	child=3  	babelism      	/	babesia       	/	baboo         	/	baboosh       
level=4  	child=4  	bacca         	/	bacchii       	/	bacciferous   	/	bacciform     
